Campaign,Campaign type,Day,Currency code,Cost,Impr.,Clicks
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,01/08/2024,GBP,29.62,"5,836",45
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,02/08/2024,GBP,20.69,"20,425",37
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,03/08/2024,GBP,19.3,"13,296",63
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,04/08/2024,GBP,18.73,"23,719",111
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,05/08/2024,GBP,19.58,"48,591",194
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,06/08/2024,GBP,18.75,"73,985",330
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,07/08/2024,GBP,6,"29,038",184
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,08/08/2024,GBP,0,20,0
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,09/08/2024,GBP,18.97,"86,239",505
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,10/08/2024,GBP,38.76,"151,171",892
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,11/08/2024,GBP,26.92,"127,283",671
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,12/08/2024,GBP,22.36,"86,899",564
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,13/08/2024,GBP,22.6,"90,991",570
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,14/08/2024,GBP,21.23,"94,603",550
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,15/08/2024,GBP,16.09,"70,950",407
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,16/08/2024,GBP,22.01,"74,718",425
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,17/08/2024,GBP,19.21,"71,508",427
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,18/08/2024,GBP,15.94,"47,163",462
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,19/08/2024,GBP,18.4,"64,841",424
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,20/08/2024,GBP,19.02,"67,210",429
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,21/08/2024,GBP,1.18,"5,910",38
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,22/08/2024,GBP,30.65,"148,471",797
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,23/08/2024,GBP,21.63,"104,954",447
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,24/08/2024,GBP,4.02,"16,899",118
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,25/08/2024,GBP,3.86,"14,500",131
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,26/08/2024,GBP,37.66,"105,087",934
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,27/08/2024,GBP,24.09,"109,375",650
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,28/08/2024,GBP,21.16,"96,027",599
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,29/08/2024,GBP,19.77,"76,571",559
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,30/08/2024,GBP,17.8,"69,168",499
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,31/08/2024,GBP,11.84,"39,106",353
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,01/08/2024,GBP,38.01,592,23
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,02/08/2024,GBP,39.16,850,61
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,03/08/2024,GBP,39.36,800,67
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,04/08/2024,GBP,39.36,689,77
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,05/08/2024,GBP,38.04,664,57
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,06/08/2024,GBP,39.25,603,64
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,07/08/2024,GBP,38.04,604,76
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,08/08/2024,GBP,38.75,762,83
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,09/08/2024,GBP,37.91,790,85
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,10/08/2024,GBP,34.54,710,80
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,11/08/2024,GBP,43.43,814,98
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,12/08/2024,GBP,36.18,530,84
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,13/08/2024,GBP,38.8,778,100
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,14/08/2024,GBP,37.7,781,93
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,27.9,675,73
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,40.16,875,99
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,17/08/2024,GBP,47.57,899,113
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,18/08/2024,GBP,45.72,"1,133",109
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,19/08/2024,GBP,37.48,845,96
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,20/08/2024,GBP,37.33,769,98
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,21/08/2024,GBP,37.9,855,101
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,22/08/2024,GBP,33.34,912,89
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,23/08/2024,GBP,34.03,930,88
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,24/08/2024,GBP,38.72,923,98
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,25/08/2024,GBP,34.38,725,89
