Weekly Tracker Data
"January 1, 2024 - July 31, 2024"
Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-01,GBP,19.00,28.89,314,57
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-01,GBP,19.50,17.62,333,43
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-02,GBP,19.00,26.26,365,56
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-02,GBP,19.50,17.90,575,43
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-03,GBP,19.00,24.58,420,54
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-03,GBP,19.50,17.29,504,42
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-04,GBP,19.00,24.44,420,69
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-04,GBP,19.50,17.80,472,45
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-05,GBP,19.00,15.68,389,47
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-05,GBP,19.50,10.63,425,28
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-06,GBP,19.00,19.97,410,56
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-06,GBP,19.50,14.26,514,35
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-07,GBP,19.00,24.24,374,60
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-07,GBP,19.50,13.60,473,33
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-08,GBP,19.00,25.08,415,62
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-08,GBP,19.50,13.39,433,36
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-09,GBP,19.00,23.10,391,67
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-09,GBP,19.50,16.86,531,43
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,2024-01-09,GBP,160.00,149.81,"64,389",32
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-10,GBP,19.00,13.87,393,40
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,2024-01-10,GBP,19.50,13.02,438,34
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,2024-01-10,GBP,160.00,156.31,"87,277",128
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,2024-01-11,GBP,19.00,14.33,323,41
