Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,01/01/2024,GBP,19,28.89,314,57
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,01/01/2024,GBP,19.5,17.62,333,43
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,02/01/2024,GBP,19,26.26,365,56
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,02/01/2024,GBP,19.5,17.9,575,43
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,03/01/2024,GBP,19,24.58,420,54
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,03/01/2024,GBP,19.5,17.29,504,42
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,04/01/2024,GBP,19,24.44,420,69
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,04/01/2024,GBP,19.5,17.8,472,45
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,05/01/2024,GBP,19,15.68,389,47
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,05/01/2024,GBP,19.5,10.63,425,28
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,06/01/2024,GBP,19,19.97,410,56
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,06/01/2024,GBP,19.5,14.26,514,35
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,07/01/2024,GBP,19,24.24,374,60
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,07/01/2024,GBP,19.5,13.6,473,33
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,08/01/2024,GBP,19,25.08,415,62
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,08/01/2024,GBP,19.5,13.39,433,36
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,09/01/2024,GBP,19,23.1,391,67
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,09/01/2024,GBP,19.5,16.86,531,43
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,09/01/2024,GBP,160,149.81,"64,389",32
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,10/01/2024,GBP,19,13.87,393,40
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,10/01/2024,GBP,19.5,13.02,438,34
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,10/01/2024,GBP,160,156.31,"87,277",128
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,11/01/2024,GBP,19,14.33,323,41
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,11/01/2024,GBP,19.5,14.75,447,38
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,11/01/2024,GBP,160,153.72,"83,095",224
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,12/01/2024,GBP,19,29.33,427,64
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,12/01/2024,GBP,19.5,10.65,359,28
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,12/01/2024,GBP,160,203.89,"106,220",257
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,13/01/2024,GBP,19,22.76,354,60
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,13/01/2024,GBP,19.5,12.74,442,33
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,13/01/2024,GBP,160,214.06,"115,041",268
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,14/01/2024,GBP,19,20.11,363,51
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,14/01/2024,GBP,19.5,14.22,381,38
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,14/01/2024,GBP,160,213.26,"120,616",245
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,15/01/2024,GBP,19,23.17,381,65
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,15/01/2024,GBP,19.5,14.64,360,41
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,15/01/2024,GBP,160,247.88,"124,954",284
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,16/01/2024,GBP,19,23.24,403,62
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,16/01/2024,GBP,19.5,14.66,428,40
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,16/01/2024,GBP,160,258.97,"125,603",297
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,17/01/2024,GBP,19,21.85,392,61
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,17/01/2024,GBP,19.5,14.56,491,39
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,17/01/2024,GBP,160,260.09,"126,189",328
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,18/01/2024,GBP,19,21.79,307,62
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,18/01/2024,GBP,19.5,13.87,311,39
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,18/01/2024,GBP,160,261.12,"121,452",265
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,19/01/2024,GBP,19,17.11,352,51
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,19/01/2024,GBP,19.5,7.65,309,23
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,19/01/2024,GBP,160,259.3,"114,988",282
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,20/01/2024,GBP,19,18.87,372,50
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,20/01/2024,GBP,19.5,14.27,466,39
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,20/01/2024,GBP,160,258.63,"123,408",312
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,21/01/2024,GBP,19,19.51,352,53
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,21/01/2024,GBP,19.5,12.03,405,33
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,21/01/2024,GBP,160,254.62,"125,431",307
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,22/01/2024,GBP,19,17.55,370,51
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,22/01/2024,GBP,19.5,15.09,508,42
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,22/01/2024,GBP,160,254.09,"111,336",273
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,23/01/2024,GBP,19,16.72,369,45
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - General,Search,23/01/2024,GBP,19.5,12.66,406,38
Haliborange - PCM,910-547-9147,PCM - Haliborange - Video - Multivitamins,Video,23/01/2024,GBP,160,253.43,"107,344",238
Haliborange - PCM,910-547-9147,PCM - 2023/4 - Haliborange Kids - Brand,Search,24/01/2024,GBP,19,20.46,391,53
