Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,01/10/2024,GBP,25.8,28.17,"3,780",232
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,01/10/2024,GBP,32.25,30.78,883,107
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,02/10/2024,GBP,25.8,25.08,"4,378",477
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,02/10/2024,GBP,32.25,34.34,796,118
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,02/10/2024,GBP,48.38,45.49,"6,325",12
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,03/10/2024,GBP,25.8,25.32,"5,328",470
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,03/10/2024,GBP,32.25,32.37,730,113
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,03/10/2024,GBP,48.38,96.59,"18,834",31
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,04/10/2024,GBP,25.8,26.36,"5,211",461
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,04/10/2024,GBP,32.25,25.36,631,86
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,04/10/2024,GBP,48.38,53.98,"12,141",15
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,04/10/2024,GBP,17.74,36.57,"150,780",835
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,05/10/2024,GBP,25.8,26.94,"5,639",383
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,05/10/2024,GBP,32.25,40.42,828,138
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,05/10/2024,GBP,48.38,49.61,"11,283",10
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,05/10/2024,GBP,17.74,35.18,"148,396",655
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,06/10/2024,GBP,25.8,29.4,"8,357",359
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,06/10/2024,GBP,32.25,35.58,805,118
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,06/10/2024,GBP,48.38,49.34,"11,561",21
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,06/10/2024,GBP,17.74,36.61,"151,638",654
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,01/10/2024,GBP,22.63,32.54,84,8
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,02/10/2024,GBP,22.63,33.66,104,8
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,03/10/2024,GBP,22.63,26.45,73,5
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,04/10/2024,GBP,22.63,16.2,60,6
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,05/10/2024,GBP,22.63,0.47,13,2
Lynwood,901-619-3253,PCM - Search - Lynwood Rentals - Brand,Search,06/10/2024,GBP,22.63,2.07,16,6
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,01/10/2024,GBP,5,4.88,"34,307",38
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,01/10/2024,GBP,5,4.99,"27,976",130
Cherry Godfrey Group,207-885-5773,[D] IOW - PLoans,Display,01/10/2024,GBP,5,4.95,"24,763",70
Cherry Godfrey Group,207-885-5773,[D] Jsy - PLoans,Display,01/10/2024,GBP,5,5.18,"39,723",87
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,01/10/2024,GBP,5,5.43,88,10
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,01/10/2024,GBP,5,6.47,90,13
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,01/10/2024,GBP,2,2.11,"14,155",37
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,01/10/2024,GBP,2,2.19,"11,098",31
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,01/10/2024,GBP,2,2.2,"14,857",33
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,01/10/2024,GBP,2,1.99,"17,605",61
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,01/10/2024,GBP,2,2.14,"11,664",52
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,01/10/2024,GBP,5,5.09,"22,925",147
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,01/10/2024,GBP,16.12,9.51,454,32
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,02/10/2024,GBP,5,5.28,"33,651",57
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,02/10/2024,GBP,5,4.8,"30,950",131
Cherry Godfrey Group,207-885-5773,[D] IOW - PLoans,Display,02/10/2024,GBP,5,5.07,"26,645",93
Cherry Godfrey Group,207-885-5773,[D] Jsy - PLoans,Display,02/10/2024,GBP,5,5.08,"37,572",81
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,02/10/2024,GBP,5,6.19,73,10
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,02/10/2024,GBP,5,3.58,75,7
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,02/10/2024,GBP,2,2.11,"11,451",35
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,02/10/2024,GBP,2,2.04,"16,421",30
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,02/10/2024,GBP,2,2.14,"13,260",32
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,02/10/2024,GBP,2,1.78,"14,034",54
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,02/10/2024,GBP,2,1.95,"10,744",59
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,02/10/2024,GBP,5,4.95,"30,622",144
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,02/10/2024,GBP,16.12,14.14,443,45
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,03/10/2024,GBP,5,5.09,"23,212",75
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,03/10/2024,GBP,5,5.41,"30,871",129
Cherry Godfrey Group,207-885-5773,[D] IOW - PLoans,Display,03/10/2024,GBP,5,5.2,"26,260",83
Cherry Godfrey Group,207-885-5773,[D] Jsy - PLoans,Display,03/10/2024,GBP,5,4.21,"29,307",68
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,03/10/2024,GBP,5,7.1,65,11
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,03/10/2024,GBP,5,2.08,69,5
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,03/10/2024,GBP,2,1.99,"15,547",48
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,03/10/2024,GBP,2,1.99,"22,546",35
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,03/10/2024,GBP,2,2.07,"14,138",34
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,03/10/2024,GBP,2,2.38,"13,889",56
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,03/10/2024,GBP,2,2,"7,033",56
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,03/10/2024,GBP,5,5.11,"25,338",132
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,03/10/2024,GBP,16.12,26.18,901,69
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,04/10/2024,GBP,5,5.36,"24,302",70
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,04/10/2024,GBP,5,5.14,"26,574",131
Cherry Godfrey Group,207-885-5773,[D] IOW - PLoans,Display,04/10/2024,GBP,5,4.63,"23,253",86
Cherry Godfrey Group,207-885-5773,[D] Jsy - PLoans,Display,04/10/2024,GBP,5,6.09,"37,334",67
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,04/10/2024,GBP,5,4.56,68,12
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,04/10/2024,GBP,5,4.86,77,9
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,04/10/2024,GBP,2,2.08,"12,513",42
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,04/10/2024,GBP,2,2.03,"14,119",33
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,04/10/2024,GBP,2,1.97,"14,082",31
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,04/10/2024,GBP,2,2.26,"8,554",31
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,04/10/2024,GBP,2,1.58,"9,693",42
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,04/10/2024,GBP,5,5.32,"29,628",136
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,04/10/2024,GBP,16.12,14.79,625,43
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,05/10/2024,GBP,5,5.04,"31,647",64
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,05/10/2024,GBP,5,5.11,"31,261",127
Cherry Godfrey Group,207-885-5773,[D] IOW - PLoans,Display,05/10/2024,GBP,5,5.71,"28,813",91
Cherry Godfrey Group,207-885-5773,[D] Jsy - PLoans,Display,05/10/2024,GBP,5,5.16,"23,921",73
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,05/10/2024,GBP,5,4.12,55,10
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,05/10/2024,GBP,5,3.75,59,5
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,05/10/2024,GBP,2,1.97,"11,217",47
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,05/10/2024,GBP,2,2,"15,408",36
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,05/10/2024,GBP,2,2.13,"13,890",29
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,05/10/2024,GBP,2,2,"13,053",51
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,05/10/2024,GBP,2,2.54,"14,822",49
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,05/10/2024,GBP,5,4.99,"23,392",143
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,05/10/2024,GBP,16.12,14.75,701,43
Cherry Godfrey Group,207-885-5773,[D] GSY - PLoans,Display,06/10/2024,GBP,5,5.17,"26,973",67
Cherry Godfrey Group,207-885-5773,[D] IOM - PLoans,Display,06/10/2024,GBP,5,5.34,"32,176",145
