Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,01/09/2024,GBP,36,19.6,222,32
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,01/09/2024,GBP,15.3,3.27,36,8
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,01/09/2024,GBP,21,16.42,126,18
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,01/09/2024,GBP,10,14.25,"16,038",64
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,02/09/2024,GBP,36,32.78,264,54
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,02/09/2024,GBP,15.3,0.64,53,3
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,02/09/2024,GBP,21,10.35,146,16
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,02/09/2024,GBP,10,14.5,"17,772",61
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,03/09/2024,GBP,36,24.21,320,35
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,03/09/2024,GBP,15.3,1.49,56,5
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,03/09/2024,GBP,21,15.94,194,24
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,03/09/2024,GBP,10,18.63,"18,592",66
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,04/09/2024,GBP,36,25.54,318,37
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,04/09/2024,GBP,15.3,4.27,61,8
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,04/09/2024,GBP,21,14.81,164,19
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,04/09/2024,GBP,10,16.36,"23,006",46
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,05/09/2024,GBP,36,21.03,280,38
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,05/09/2024,GBP,15.3,2.66,63,6
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,05/09/2024,GBP,21,17.41,142,22
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,05/09/2024,GBP,10,17.89,"11,749",38
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,06/09/2024,GBP,36,18.51,214,38
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,06/09/2024,GBP,15.3,0,32,0
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,06/09/2024,GBP,21,13.97,121,18
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,06/09/2024,GBP,10,10.95,"4,718",37
BSSAA Limited,265-723-1290,Demand Gen - 2024-09-05,Demand Gen,07/09/2024,GBP,5,0,4,0
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,07/09/2024,GBP,36,14.55,244,30
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,07/09/2024,GBP,15.3,2.17,49,6
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,07/09/2024,GBP,21,10.89,104,12
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,07/09/2024,GBP,10,14.69,"8,461",33
BSSAA Limited,265-723-1290,Demand Gen - 2024-09-05,Demand Gen,08/09/2024,GBP,5,12.82,942,3
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,08/09/2024,GBP,36,24.69,279,35
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,08/09/2024,GBP,15.3,4.6,61,5
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,08/09/2024,GBP,21,18.31,112,22
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,08/09/2024,GBP,10,16.62,"11,837",29
