Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,01/10/2024,GBP,10.9,19.06,93,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,01/10/2024,GBP,7.27,8.75,121,7
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,01/10/2024,GBP,10.9,17.84,65,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,01/10/2024,GBP,7.27,8.2,14,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,01/10/2024,GBP,8.21,12.69,82,8
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,01/10/2024,GBP,12.32,19.52,57,4
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,01/10/2024,USD,322.58,30.16,55,34
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,02/10/2024,GBP,10.9,11.93,80,5
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,02/10/2024,GBP,7.27,13.34,89,7
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,02/10/2024,GBP,10.9,15.29,53,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,02/10/2024,GBP,7.27,9.91,38,1
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,02/10/2024,GBP,8.21,10.14,31,6
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,02/10/2024,GBP,12.32,13.74,164,7
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,02/10/2024,USD,322.58,22.07,46,24
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,02/10/2024,USD,300,0,1,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,03/10/2024,GBP,10.9,13.27,182,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,03/10/2024,GBP,7.27,7.43,28,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,03/10/2024,GBP,10.9,9.97,15,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,03/10/2024,GBP,7.27,8.91,62,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,03/10/2024,GBP,8.21,11.2,37,5
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,03/10/2024,GBP,12.32,15.15,42,5
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,03/10/2024,USD,322.58,28.91,39,29
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,03/10/2024,USD,300,0,3,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,04/10/2024,GBP,10.9,9.22,68,6
