Account name,Customer ID,Campaign type,Campaign,Day,Currency code,Budget,Cost,Impr.,Clicks
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,13/10/2024,GBP,10.9,0,50,0
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,13/10/2024,GBP,10.9,14.26,18,4
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,13/10/2024,GBP,8.21,4.73,33,1
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,13/10/2024,GBP,12.32,24.09,73,7
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,13/10/2024,GBP,7.27,3.32,56,1
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,13/10/2024,GBP,7.27,9.16,32,3
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,13/10/2024,USD,322.58,22.4,41,25
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,12/10/2024,GBP,10.9,13.13,8,4
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,12/10/2024,GBP,10.9,3.52,53,1
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,12/10/2024,GBP,8.21,9.72,11,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,12/10/2024,GBP,12.32,5.8,68,3
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,12/10/2024,GBP,7.27,6.69,41,2
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,12/10/2024,GBP,7.27,6.53,50,4
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Search Only,Brand Search,12/10/2024,USD,322.58,24.86,41,30
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category - 35-54,11/10/2024,GBP,10.9,14.85,81,5
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand - 35-54,11/10/2024,GBP,10.9,14.67,103,6
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Brand,11/10/2024,GBP,8.21,5.38,50,7
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Town Thorns Care Home - Category,11/10/2024,GBP,12.32,0,33,0
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Brand 55+,11/10/2024,GBP,7.27,13.41,60,7
BEN Care PCM,999-236-7205,Search Only,PCM - Search - Lynwood Care Home - Category 55+,11/10/2024,GBP,7.27,13.16,58,4
