Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,01/10/2024,GBP,25.8,28.17,"3,780",232
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,01/10/2024,GBP,32.25,30.78,883,107
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,02/10/2024,GBP,25.8,25.02,"4,375",476
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,02/10/2024,GBP,32.25,34.34,796,118
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,02/10/2024,GBP,48.38,45.48,"6,324",12
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,03/10/2024,GBP,25.8,25.1,"5,308",466
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,03/10/2024,GBP,32.25,32.37,730,113
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,03/10/2024,GBP,48.38,96.58,"18,832",31
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,04/10/2024,GBP,25.8,25.83,"5,123",453
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,04/10/2024,GBP,32.25,25.36,631,86
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,04/10/2024,GBP,48.38,53.97,"12,139",15
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,04/10/2024,GBP,17.74,36.35,"150,683",831
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,05/10/2024,GBP,25.8,25.2,"5,592",358
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,05/10/2024,GBP,32.25,40.42,828,138
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,05/10/2024,GBP,48.38,49.55,"11,274",10
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,05/10/2024,GBP,17.74,34.87,"148,302",650
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,06/10/2024,GBP,25.8,27.3,"8,167",336
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,06/10/2024,GBP,32.25,35.58,804,118
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,06/10/2024,GBP,48.38,49.32,"11,558",21
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,06/10/2024,GBP,17.74,35.61,"151,521",637
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,07/10/2024,GBP,25.8,25.57,"6,819",443
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,07/10/2024,GBP,32.25,32.71,732,107
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,07/10/2024,GBP,48.38,49.44,"11,093",17
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,07/10/2024,GBP,17.74,20.56,"58,037",261
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,08/10/2024,GBP,25.8,25.57,"7,243",506
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,08/10/2024,GBP,32.25,10.87,338,39
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,08/10/2024,GBP,48.38,49.22,"11,242",16
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,08/10/2024,GBP,17.74,17.36,"78,396",291
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,09/10/2024,GBP,25.8,23.84,"5,935",528
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,09/10/2024,GBP,32.25,15.66,387,51
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,09/10/2024,GBP,48.38,49.12,"10,976",16
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,09/10/2024,GBP,17.74,18.55,"105,001",364
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,10/10/2024,GBP,25.8,22.53,"5,172",316
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,10/10/2024,GBP,32.25,64.87,"1,157",156
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,10/10/2024,GBP,48.38,52.9,"12,410",11
Skin Doctors - PCM,393-022-8800,_pcm_instants_uk_display_cpc_traffic_oct_2024_,Display,10/10/2024,GBP,24.28,0,104,0
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,10/10/2024,GBP,17.74,17.36,"73,031",343
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,11/10/2024,GBP,25.8,26.55,"6,426",283
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,11/10/2024,GBP,32.25,32.42,725,105
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,11/10/2024,GBP,48.38,46.58,"11,988",18
Skin Doctors - PCM,393-022-8800,_pcm_instants_uk_display_cpc_traffic_oct_2024_,Display,11/10/2024,GBP,24.28,5.89,"1,192",8
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,11/10/2024,GBP,17.74,18.3,"126,125",438
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,12/10/2024,GBP,25.8,32.25,"10,715",354
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,12/10/2024,GBP,32.25,26.05,672,92
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,12/10/2024,GBP,48.38,47.03,"12,166",15
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,12/10/2024,GBP,17.74,18.45,"81,269",392
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,13/10/2024,GBP,25.8,23.92,"5,605",499
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,13/10/2024,GBP,32.25,41.48,852,139
Bioglan,784-415-3148,_pcm_bgl_vg_sk_uk_video_cpm_traffic_oct_2024_,Video,13/10/2024,GBP,48.38,48.43,"12,489",22
Skin Doctors - PCM,393-022-8800,_pcm_instants_uk_display_cpc_traffic_oct_2024_,Display,13/10/2024,GBP,24.28,0.97,629,6
Skin Doctors - PCM,393-022-8800,_pcm_radiance_renew_uk_display_cpc_traffic_oct_2024_,Display,13/10/2024,GBP,17.74,17.21,"56,982",326
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,01/10/2024,GBP,10.9,19.06,93,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,01/10/2024,GBP,7.27,8.75,121,7
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,01/10/2024,GBP,10.9,17.84,65,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,01/10/2024,GBP,7.27,8.2,14,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,01/10/2024,GBP,8.21,12.69,82,8
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,01/10/2024,GBP,12.32,19.52,57,4
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,01/10/2024,USD,322.58,30.16,55,34
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,02/10/2024,GBP,10.9,11.93,80,5
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,02/10/2024,GBP,7.27,13.34,89,7
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,02/10/2024,GBP,10.9,15.29,53,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,02/10/2024,GBP,7.27,9.91,38,1
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,02/10/2024,GBP,8.21,10.14,31,6
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,02/10/2024,GBP,12.32,13.74,164,7
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,02/10/2024,USD,322.58,22.07,46,24
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,02/10/2024,USD,300,0,1,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,03/10/2024,GBP,10.9,13.27,182,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,03/10/2024,GBP,7.27,7.43,28,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,03/10/2024,GBP,10.9,9.97,15,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,03/10/2024,GBP,7.27,8.91,62,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,03/10/2024,GBP,8.21,11.2,37,5
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,03/10/2024,GBP,12.32,15.15,42,5
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,03/10/2024,USD,322.58,28.91,39,29
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,03/10/2024,USD,300,0,3,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,04/10/2024,GBP,10.9,9.22,68,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,04/10/2024,GBP,7.27,5.05,15,2
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,04/10/2024,GBP,10.9,9.06,51,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,04/10/2024,GBP,7.27,10.03,17,2
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,04/10/2024,GBP,8.21,6.39,40,7
