Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,14/10/2024,GBP,5,6.52,107,13
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,14/10/2024,GBP,5,4.38,91,8
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,14/10/2024,GBP,2,1.87,"6,671",38
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,14/10/2024,GBP,2,1.89,"11,940",28
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,14/10/2024,GBP,2,2.01,"9,009",32
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,14/10/2024,GBP,2,1.96,"13,145",51
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,14/10/2024,GBP,2,2.03,"6,575",49
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,14/10/2024,GBP,5,5.26,"23,533",142
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,14/10/2024,GBP,16.12,17.62,706,48
Cherry Godfrey Group,207-885-5773,[D]GSY_PLoans,Display,15/10/2024,GBP,5,0.5,815,7
Cherry Godfrey Group,207-885-5773,[D]IOM_PLoans,Display,15/10/2024,GBP,5,5.7,"18,783",85
Cherry Godfrey Group,207-885-5773,[D]IOW_PLoans,Display,15/10/2024,GBP,5,0.1,667,5
Cherry Godfrey Group,207-885-5773,[D]JSY_PLoans,Display,15/10/2024,GBP,5,2.7,"7,416",34
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,15/10/2024,GBP,5,6.38,105,10
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,15/10/2024,GBP,5,5.33,58,11
Cherry Godfrey Group,207-885-5773,[S]GSY_PLoans,Search,15/10/2024,GBP,5,0.27,31,4
Cherry Godfrey Group,207-885-5773,[S]PLoans_IOW,Search,15/10/2024,GBP,5,0.31,3,1
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,15/10/2024,GBP,2,2.15,"12,186",47
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,15/10/2024,GBP,2,2.21,"15,512",28
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,15/10/2024,GBP,2,2.22,"10,158",32
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,15/10/2024,GBP,2,2.02,"14,600",44
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,15/10/2024,GBP,2,1.97,"9,667",59
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,15/10/2024,GBP,5,4.81,"17,356",139
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,15/10/2024,GBP,16.12,18.05,507,55
Cherry Godfrey Group,207-885-5773,[D]GSY_PLoans,Display,16/10/2024,GBP,5,6.1,"23,233",80
Cherry Godfrey Group,207-885-5773,[D]IOM_PLoans,Display,16/10/2024,GBP,5,6.9,"13,146",77
Cherry Godfrey Group,207-885-5773,[D]IOW_PLoans,Display,16/10/2024,GBP,5,9.7,"16,623",136
Cherry Godfrey Group,207-885-5773,[D]JSY_PLoans,Display,16/10/2024,GBP,5,7.8,"19,634",105
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,16/10/2024,GBP,5,5.79,74,13
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,16/10/2024,GBP,5,4.81,70,11
Cherry Godfrey Group,207-885-5773,[S]GSY_PLoans,Search,16/10/2024,GBP,5,4.88,112,25
Cherry Godfrey Group,207-885-5773,[S]PLoans_IOW,Search,16/10/2024,GBP,5,0.51,12,1
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,16/10/2024,GBP,2,1.9,"9,075",46
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,16/10/2024,GBP,2,1.92,"8,247",36
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,16/10/2024,GBP,2,1.83,"16,040",32
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,16/10/2024,GBP,2,2.06,"16,562",52
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,16/10/2024,GBP,2,2.05,"11,404",53
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,16/10/2024,GBP,5,5.2,"21,758",166
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,16/10/2024,GBP,16.12,18.18,750,55
Cherry Godfrey Group,207-885-5773,[D]GSY_PLoans,Display,17/10/2024,GBP,5,2.1,"10,038",28
Cherry Godfrey Group,207-885-5773,[D]IOM_PLoans,Display,17/10/2024,GBP,5,5.8,"17,076",77
Cherry Godfrey Group,207-885-5773,[D]IOW_PLoans,Display,17/10/2024,GBP,5,5.2,"21,211",96
Cherry Godfrey Group,207-885-5773,[D]JSY_PLoans,Display,17/10/2024,GBP,5,5.4,"16,825",81
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,17/10/2024,GBP,5,4.35,80,8
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,17/10/2024,GBP,5,1.74,74,3
Cherry Godfrey Group,207-885-5773,[S]GSY_PLoans,Search,17/10/2024,GBP,5,2.17,93,16
Cherry Godfrey Group,207-885-5773,[S]PLoans_IOW,Search,17/10/2024,GBP,5,0,24,0
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,17/10/2024,GBP,2,1.93,"14,296",41
Cherry Godfrey Group,207-885-5773,IOM LInsurance 2022,Display,17/10/2024,GBP,2,2.15,"9,373",63
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,17/10/2024,GBP,2,1.96,"8,439",42
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,17/10/2024,GBP,2,1.89,"10,103",37
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,17/10/2024,GBP,2,1.98,"16,448",58
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,17/10/2024,GBP,2,1.78,"6,215",50
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,17/10/2024,GBP,5,4.92,"20,717",137
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,17/10/2024,GBP,16.12,15.97,629,51
Cherry Godfrey Group,207-885-5773,[D]GSY_PLoans,Display,18/10/2024,GBP,5,2.7,"28,021",68
Cherry Godfrey Group,207-885-5773,[D]IOM_PLoans,Display,18/10/2024,GBP,5,5.6,"15,925",65
Cherry Godfrey Group,207-885-5773,[D]IOW_PLoans,Display,18/10/2024,GBP,5,7.8,"30,538",97
Cherry Godfrey Group,207-885-5773,[D]JSY_PLoans,Display,18/10/2024,GBP,5,6.1,"32,747",92
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,18/10/2024,GBP,5,2.89,62,7
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,18/10/2024,GBP,5,3.92,70,7
Cherry Godfrey Group,207-885-5773,[S]GSY_PLoans,Search,18/10/2024,GBP,5,5.05,115,28
Cherry Godfrey Group,207-885-5773,[S]PLoans_IOW,Search,18/10/2024,GBP,5,1.36,52,4
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,18/10/2024,GBP,2,2.1,"9,543",48
Cherry Godfrey Group,207-885-5773,IOM LInsurance 2022,Display,18/10/2024,GBP,2,1.98,"13,088",42
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,18/10/2024,GBP,2,1.2,"5,450",29
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,18/10/2024,GBP,2,1.89,"12,055",37
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,18/10/2024,GBP,2,2.05,"16,612",56
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,18/10/2024,GBP,2,1.95,"6,748",51
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,18/10/2024,GBP,5,5.09,"18,267",145
Promensil,513-166-8734,PCM - Search - Promensil - Consideration - 24-25,Search,18/10/2024,GBP,16.12,11.16,431,38
Cherry Godfrey Group,207-885-5773,[D]GSY_PLoans,Display,19/10/2024,GBP,5,7.7,"27,190",92
Cherry Godfrey Group,207-885-5773,[D]IOM_PLoans,Display,19/10/2024,GBP,5,3.7,"19,395",72
Cherry Godfrey Group,207-885-5773,[D]IOW_PLoans,Display,19/10/2024,GBP,5,15.2,"42,720",170
Cherry Godfrey Group,207-885-5773,[D]JSY_PLoans,Display,19/10/2024,GBP,5,5.2,"29,719",92
Cherry Godfrey Group,207-885-5773,[S] IOM - PLoans,Search,19/10/2024,GBP,5,3.06,69,8
Cherry Godfrey Group,207-885-5773,[S] Jsy - PLoans,Search,19/10/2024,GBP,5,7.81,59,7
Cherry Godfrey Group,207-885-5773,[S]GSY_PLoans,Search,19/10/2024,GBP,5,5.17,67,12
Cherry Godfrey Group,207-885-5773,[S]PLoans_IOW,Search,19/10/2024,GBP,5,3.73,60,9
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,19/10/2024,GBP,2,1.93,"5,280",48
Cherry Godfrey Group,207-885-5773,IOM LInsurance 2022,Display,19/10/2024,GBP,2,2.09,"9,156",79
