Account name,Campaign,Campaign type,Day,Budget,Cost,Impr.,Clicks
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,01/09/2024,20,12.4,"59,127",420
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,40,34.71,970,93
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,26.66,26.13,"9,427",20
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,01/09/2024,43.33,52.2,"220,856","1,576"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,50,49.15,"1,131",142
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,40,39.05,"7,183",12
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,88,92.33,"1,055",126
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,88,89.25,"31,587",52
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,01/09/2024,22,26.49,"5,053",588
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,01/09/2024,30,36.91,"16,967","1,037"
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,02/09/2024,20,23.75,"52,206",775
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,40,46.5,"1,078",118
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,26.66,27.35,"9,801",32
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,02/09/2024,43.33,52.24,"183,021","1,631"
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,50,52.75,"1,346",156
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,40,41.14,"7,141",12
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,02/09/2024,27.58,27,"8,293",286
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,34.48,3.04,139,10
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,88,83.19,"1,038",122
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,88,92.89,"33,219",64
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,02/09/2024,22,0.21,334,9
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,02/09/2024,30,36.82,"17,939","1,097"
Superfoods,_pcm_superfoods_category_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,32.75,0.68,52,3
Superfoods,_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,02/09/2024,34,33.95,"10,953",14
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,03/09/2024,20,25.44,"97,089",591
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,40,39.51,956,102
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,26.66,27.36,"10,050",16
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,03/09/2024,43.33,3.9,"16,807",121
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,50,47.05,"1,317",136
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,40,41.08,"7,198",13
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,03/09/2024,27.58,28.35,"20,692",337
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,03/09/2024,34.48,1.11,66,8
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,88,2.64,158,13
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,88,93.24,"32,512",68
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,03/09/2024,22,0.05,81,2
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,03/09/2024,30,1.33,"1,596",42
Superfoods,_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,03/09/2024,34,35.19,"10,867",12
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,04/09/2024,20,4.82,"28,336",130
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,40,42.07,910,108
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,26.66,27.29,"7,262",11
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,04/09/2024,43.33,0.83,"2,208",28
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,50,57.2,"1,420",151
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,40,40.89,"6,947",12
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,04/09/2024,27.58,2.6,910,55
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,04/09/2024,34.48,68.95,"1,323",210
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,88,3.84,179,18
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,88,92.96,"30,536",50
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,04/09/2024,22,0.07,284,2
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,04/09/2024,30,0.07,181,2
Superfoods,_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,04/09/2024,34,7.09,"2,284",2
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,05/09/2024,20,0,68,0
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,40,44.49,"1,118",113
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,26.66,26.6,"7,429",13
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,05/09/2024,43.33,2.58,"9,619",54
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,50,52.99,"1,482",135
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,05/09/2024,40,39.83,"6,834",12
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,05/09/2024,27.58,0,1,0
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,05/09/2024,34.48,68.95,"1,404",196
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,05/09/2024,88,177.72,"1,282",162
