Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,23/09/2024,GBP,10.9,14.76,98,7
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,23/09/2024,GBP,7.27,10.81,81,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,23/09/2024,GBP,10.9,17.02,62,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,23/09/2024,GBP,7.27,8.67,66,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,23/09/2024,GBP,8.21,11.34,54,7
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,23/09/2024,GBP,12.32,13.66,122,7
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,23/09/2024,USD,322.58,15.06,26,20
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,24/09/2024,GBP,10.9,13.91,146,11
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,24/09/2024,GBP,7.27,8.65,28,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,24/09/2024,GBP,10.9,13.76,31,5
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,24/09/2024,GBP,7.27,7.63,26,4
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,24/09/2024,GBP,8.21,10.53,67,9
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,24/09/2024,GBP,12.32,13.95,93,6
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,24/09/2024,USD,322.58,34.5,45,31
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,24/09/2024,USD,300,0,1,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,25/09/2024,GBP,10.9,12.99,60,5
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,25/09/2024,GBP,7.27,8.35,76,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,25/09/2024,GBP,10.9,11.17,54,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,25/09/2024,GBP,7.27,7.6,3,1
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,25/09/2024,GBP,8.21,9.7,21,7
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,25/09/2024,GBP,12.32,16.59,80,7
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,25/09/2024,USD,322.58,36.76,48,34
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,26/09/2024,GBP,10.9,10.24,88,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,26/09/2024,GBP,7.27,7.89,61,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,26/09/2024,GBP,10.9,5.73,76,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,26/09/2024,GBP,7.27,8.34,20,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,26/09/2024,GBP,8.21,2.68,51,3
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,26/09/2024,GBP,12.32,5.84,110,4
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,26/09/2024,USD,322.58,29.3,41,29
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,26/09/2024,USD,300,0,3,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,27/09/2024,GBP,10.9,8.33,30,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,27/09/2024,GBP,7.27,8.33,23,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,27/09/2024,GBP,10.9,9.08,12,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,27/09/2024,GBP,7.27,4.74,53,2
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,27/09/2024,GBP,8.21,9.22,110,6
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,27/09/2024,GBP,12.32,11.1,41,4
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,27/09/2024,USD,322.58,28.87,56,34
