Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
01/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.10,"7,550",37
02/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.06,"7,387",25
03/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.10,"7,519",23
04/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.06,"7,498",35
05/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.08,"7,716",40
06/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.05,"7,453",22
07/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£29.04,"7,553",14
08/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£22.90,"5,908",15
12/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£33.73,"8,736",33
13/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£33.75,"8,807",25
14/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£33.69,"8,712",12
15/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£33.41,"8,553",30
16/08/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,£33.69,"8,750",26
