"Date","Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Channel Type","Media Cost","Impressions","Clicks"
"2024-09-09","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.68 ","13,161","23"
"2024-09-10","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.66 ","13,264","25"
"2024-09-11","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,694","21"
"2024-09-12","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.68 ","13,598","21"
"2024-09-13","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.72 ","13,895","38"
"2024-09-14","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.74 ","14,046","24"
"2024-09-15","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.77 ","13,356","22"
"2024-09-16","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£5.71 ","1,461","3"
"2024-09-09","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.76 ","13,249","28"
"2024-09-10","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.73 ","13,274","29"
"2024-09-11","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.74 ","13,182","21"
"2024-09-12","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.68 ","13,171","20"
"2024-09-13","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.73 ","13,268","24"
"2024-09-14","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.70 ","13,434","22"
"2024-09-15","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£51.67 ","13,305","27"
"2024-09-16","49498","Pharmacare","203509","BIOGLAN","1464671","PCM-Bioglan Collagen 2024-2025","Display","£5.88 ","1,502","2"
"2024-09-09","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.60 ","7,014","12"
"2024-09-10","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.60 ","7,054","12"
"2024-09-11","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.59 ","7,061","12"
"2024-09-12","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.56 ","7,163","7"
"2024-09-13","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.59 ","7,109","15"
"2024-09-14","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.58 ","7,061","21"
"2024-09-15","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£27.58 ","7,130","6"
"2024-09-16","49498","Pharmacare","203513","PROMENSIL","1477644","PCM-Promensil-Display-2024-25","Display","£5.28 ","1,448","1"
"2024-09-09","49498","Pharmacare","170822","Skin Doctors","1516678","PCM-24/5 Depilatories SKD- Ingrow Go-Individual","Display","£15.53 ","3,999","8"
"2024-09-10","49498","Pharmacare","170822","Skin Doctors","1516678","PCM-24/5 Depilatories SKD- Ingrow Go-Individual","Display","£15.50 ","3,991","11"
"2024-09-11","49498","Pharmacare","170822","Skin Doctors","1516678","PCM-24/5 Depilatories SKD- Ingrow Go-Individual","Display","£15.52 ","4,154","7"
