Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
23/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.78,"14,136",44
24/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.78,"13,688",28
25/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.78,"13,526",23
26/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.80,"13,444",30
27/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.83,"13,829",20
28/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.58,"13,403",28
29/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.84,"13,836",29
23/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.75,"13,363",16
24/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.77,"13,342",25
25/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.73,"13,779",11
26/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.74,"13,271",17
27/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.75,"13,828",10
28/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.74,"13,322",16
29/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.46,"13,499",16
23/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.60,"6,374",14
24/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.59,"6,400",2
25/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.60,"6,323",16
26/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.59,"6,400",10
27/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.58,"6,377",12
28/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.60,"6,459",16
29/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.42,"6,271",8
23/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£26.93,"6,896",7
