"Date","Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Channel Type","Media Cost","Impressions","Clicks"
"2024-09-02","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.76 ","13,227","33"
"2024-09-03","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.72 ","13,235","29"
"2024-09-04","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.72 ","13,215","20"
"2024-09-05","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,264","12"
"2024-09-06","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.71 ","13,226","19"
"2024-09-07","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,230","21"
"2024-09-08","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,255","11"
"2024-09-09","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.68 ","13,161","23"
"2024-09-10","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.66 ","13,264","25"
"2024-09-11","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,694","21"
"2024-09-12","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.68 ","13,598","21"
"2024-09-13","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.72 ","13,895","38"
"2024-09-14","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.74 ","14,046","24"
"2024-09-15","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.77 ","13,356","22"
"2024-09-16","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.74 ","14,199","24"
"2024-09-17","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.71 ","13,338","19"
"2024-09-18","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.74 ","13,694","21"
"2024-09-19","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,932","24"
"2024-09-20","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,972","27"
"2024-09-21","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.73 ","13,875","33"
"2024-09-22","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.37 ","13,961","39"
"2024-09-23","49498","Pharmacare","203509","BIOGLAN","1464636","PCM-Biotic Balanace 2024-2025","Display","£51.78 ","14,136","44"
