"Date","Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Channel Type","Media Cost","Impressions","Clicks"
"2024-01-05","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£22.31 ","4,406","10"
"2024-01-06","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.60 ","7,493","9"
"2024-01-07","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.62 ","7,509","10"
"2024-01-08","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.59 ","7,462","10"
"2024-01-09","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.61 ","7,547","10"
"2024-01-10","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.60 ","7,535","15"
"2024-01-11","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.61 ","7,472","11"
"2024-01-12","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.56 ","7,532","19"
"2024-01-13","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.65 ","7,428","18"
"2024-01-14","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.61 ","7,502","9"
"2024-01-15","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.56 ","7,109","7"
"2024-01-16","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.62 ","6,658","11"
"2024-01-17","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.53 ","6,560","10"
"2024-01-18","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.62 ","6,470","13"
"2024-01-19","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.55 ","6,626","9"
"2024-01-20","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.62 ","6,685","9"
"2024-01-21","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£37.64 ","6,600","14"
"2024-01-22","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£19.31 ","3,494","1"
"2024-01-23","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£8.21 ","1,452","5"
"2024-01-24","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£8.17 ","1,487","6"
"2024-01-25","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£8.06 ","1,442","4"
"2024-01-26","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£8.09 ","1,455","3"
"2024-01-27","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£7.75 ","1,386","4"
"2024-01-28","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£7.16 ","1,296","2"
"2024-01-29","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£5.84 ","1,043","1"
"2024-01-30","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£3.19 ","568","1"
"2024-01-31","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£0.32 ","56","0"
"2024-02-02","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.58 ","4,936","7"
"2024-02-03","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.59 ","4,890","12"
"2024-02-04","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.59 ","4,716","13"
"2024-02-05","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.58 ","4,806","11"
"2024-02-06","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.57 ","4,843","9"
"2024-02-07","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.58 ","4,804","8"
"2024-02-08","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.53 ","4,735","17"
"2024-02-09","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.69 ","4,902","4"
"2024-02-10","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.58 ","4,747","9"
"2024-02-11","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.63 ","4,948","6"
"2024-02-12","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.58 ","4,842","13"
"2024-02-13","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.60 ","4,725","8"
"2024-02-14","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.55 ","4,735","4"
"2024-02-15","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.55 ","4,927","7"
"2024-02-16","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.57 ","5,037","5"
"2024-02-17","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.57 ","4,968","5"
"2024-02-18","49498","Pharmacare","118852","Haliborange","454947","PCM - 23/24 - Haliborange Kids - Browsing Audience","Display","£28.56 ","4,877","8"
