Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Channel Subtype,Media Cost,Impressions,Clicks
03/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£9.74,"2,522",7
04/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£15.74,"4,062",2
05/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£15.74,"4,034",8
06/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£15.73,"4,030",13
07/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£15.74,"4,038",9
08/07/2024,49498,Pharmacare,170822,Skin Doctors,1388379,PCM - 24/5- SKD - Depilatories ABTestOld1,Display,Standard,£10.21,"2,637",5
03/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£9.26,"2,384",13
04/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£15.75,"4,060",10
05/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£15.77,"4,043",17
06/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£15.75,"4,049",25
07/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£15.78,"4,045",10
08/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£31.13,"7,959",25
09/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£31.16,"7,960",19
10/07/2024,49498,Pharmacare,170822,Skin Doctors,1388397,PCM-24/5-Skin Doctors-Depilatories ABTestNew1,Display,Standard,£31.16,"7,995",21
