Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Channel Subtype,Media Cost,Impressions,Clicks
01/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.67,"13,351",41
02/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.42,"12,435",29
03/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.38,"12,371",24
04/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.35,"12,510",30
05/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.40,"12,423",26
06/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.44,"12,362",19
07/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.37,"12,612",26
08/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.36,"12,434",20
09/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.37,"12,346",17
10/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.35,"12,515",12
11/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.35,"12,383",22
12/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.34,"11,808",32
13/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.36,"12,031",33
14/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.28,"11,200",23
15/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.34,"11,138",24
16/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.34,"10,912",25
17/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.38,"11,345",15
18/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.33,"11,190",22
19/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.32,"11,342",14
20/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.32,"11,411",24
