Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
01/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.67,"13,351",41
02/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.42,"12,435",29
03/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.38,"12,371",24
04/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.35,"12,510",30
05/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.40,"12,423",26
06/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.44,"12,362",19
01/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£123.61,"33,654",86
02/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£119.39,"31,560",92
03/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£125.18,"32,663",77
04/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£122.14,"34,270",68
05/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£125.67,"34,090",69
06/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£125.64,"34,084",85
01/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.64,"23,790",74
02/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.63,"20,734",90
03/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.66,"20,570",53
04/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.64,"20,802",67
05/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.66,"20,540",62
06/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.63,"20,551",71
01/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.46,"4,989",14
02/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.35,"4,951",12
03/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.38,"4,962",7
04/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.36,"4,953",8
05/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.36,"4,936",6
06/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.37,"4,940",2
,,,,,,,Total,"£1,632.46","432,491","1,112"
