Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
07/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.37,"12,612",26
08/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.36,"12,434",20
09/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.37,"12,346",17
10/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.35,"12,515",12
11/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.35,"12,383",22
12/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.34,"11,808",32
13/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.36,"12,031",33
07/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£97.99,"25,276",64
08/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£97.54,"25,043",57
09/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£101.13,"26,222",79
10/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£100.99,"25,650",78
11/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£101.08,"25,907",54
12/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£101.00,"26,095",62
13/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£100.93,"26,097",74
07/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.62,"20,566",51
08/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.64,"20,622",36
09/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.63,"20,650",45
10/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.63,"20,558",51
11/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.60,"20,483",52
12/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.62,"20,659",51
13/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.60,"20,605",68
07/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.36,"4,958",5
08/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.36,"4,965",7
09/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.35,"4,981",22
10/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.34,"4,952",13
11/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.36,"4,956",10
12/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.35,"4,960",14
13/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.34,"5,044",11
11/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.59,"7,683",10
12/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.57,"7,298",5
13/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.57,"7,325",16
,,,,,,,Total,"£1,824.70","467,684","1,097"
