Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Channel Subtype,Media Cost,Impressions,Clicks
21/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.30,"11,278",25
22/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.21,"11,125",17
23/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.30,"11,202",26
24/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.28,"11,469",15
25/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.28,"11,446",20
26/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.29,"11,579",21
27/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,Standard,£48.61,"11,190",28
21/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.53,"20,553",56
22/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.39,"20,559",33
23/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.55,"20,636",47
24/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.52,"20,588",28
25/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.33,"20,664",35
26/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£80.51,"20,622",60
27/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,Standard,£81.03,"21,023",54
21/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.33,"5,014",14
22/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.28,"4,948",9
23/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.33,"4,938",12
24/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.30,"5,019",12
25/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.30,"4,933",9
26/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.30,"4,988",15
27/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,Standard,£19.43,"5,212",7
21/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.54,"6,580",14
22/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.49,"6,659",15
23/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.53,"6,687",14
24/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.51,"6,867",16
25/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.52,"6,786",10
26/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.51,"6,538",17
27/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,Standard,£28.69,"6,819",19
,,,,,,,Total,,"£1,237.20","305,922",648
