Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
14/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.28,"11,200",23
15/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.34,"11,138",24
16/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.34,"10,912",25
17/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.38,"11,345",15
18/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.33,"11,190",22
19/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.32,"11,342",14
20/10/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£48.32,"11,411",24
14/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£100.98,"25,894",57
15/10/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£100.89,"25,761",67
14/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.63,"20,445",56
15/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.54,"20,826",43
16/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.53,"20,589",65
17/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.59,"20,592",39
18/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.55,"20,604",31
19/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.54,"20,633",48
20/10/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£80.55,"20,691",52
14/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.34,"5,022",11
15/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.37,"4,971",15
16/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.34,"4,954",13
17/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.33,"5,112",8
18/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.33,"4,931",11
19/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.32,"4,946",10
20/10/2024,49498,Pharmacare,170822,Skin Doctors,1610553,PCM-SKD-R&R-2024-25,Display,£19.32,"5,028",16
14/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.55,"7,270",11
15/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.55,"6,890",11
16/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.57,"6,793",14
17/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.55,"6,870",17
18/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.53,"6,960",12
19/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.57,"6,819",20
20/10/2024,49498,Pharmacare,170822,Skin Doctors,1632273,PCM-SKD-Instants FL-2024-25,Display,£28.54,"6,712",17
,,,,,,,Total,"£1,439.31","357,851",791
