Date,Advertiser ID,Advertiser,Campaign Group ID,Campaign Group,Campaign ID,Campaign,Channel Type,Media Cost,Impressions,Clicks
16/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.74,"14,199",24
17/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.71,"13,338",19
18/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.74,"13,694",21
19/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.73,"13,932",24
20/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.73,"13,972",27
21/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.73,"13,875",33
22/09/2024,49498,Pharmacare,203509,BIOGLAN,1464636,PCM-Biotic Balanace 2024-2025,Display,£51.37,"13,961",39
16/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.76,"13,306",26
17/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.73,"13,216",28
18/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.73,"13,189",18
19/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.61,"13,249",35
20/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.74,"13,271",29
21/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.76,"13,279",19
22/09/2024,49498,Pharmacare,203509,BIOGLAN,1464671,PCM-Bioglan Collagen 2024-2025,Display,£51.64,"13,215",31
16/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.59,"7,145",11
17/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.58,"6,822",12
18/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.58,"6,463",6
19/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.58,"6,325",15
20/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.57,"6,276",14
21/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.59,"6,630",12
22/09/2024,49498,Pharmacare,203513,PROMENSIL,1477644,PCM-Promensil-Display-2024-25,Display,£27.54,"6,523",14
18/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£27.01,"7,308",21
19/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£26.92,"6,869",13
20/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£26.92,"6,851",10
21/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£26.92,"6,860",12
22/09/2024,49498,Pharmacare,156138,Sambucol,1494657,PCM-Sambucol-2024-25 Display-Aug - A Creatives,Display,£26.89,"6,887",9
16/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.53,"4,030",11
17/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.53,"4,053",10
18/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.52,"4,043",16
19/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.53,"4,057",15
20/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.51,"4,050",9
21/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.51,"4,034",5
22/09/2024,49498,Pharmacare,170822,Skin Doctors,1516678,PCM-24/5 Depilatories SKD- Ingrow Go-Individual,Display,£15.49,"4,033",8
16/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.34,"4,610",10
17/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.33,"4,569",7
18/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.33,"4,589",8
19/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.33,"4,537",9
20/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.32,"4,548",9
21/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.34,"4,498",6
22/09/2024,49498,Pharmacare,170822,Skin Doctors,1516858,PCM-24/5 Depilatories SKD- HNM Go-Individual,Display,£17.28,"4,484",4
16/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£51.73,"13,307",19
17/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£51.73,"13,577",23
18/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£32.02,"8,160",12
19/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£25.33,"6,515",8
20/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£25.38,"6,503",9
21/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£25.36,"6,491",10
22/09/2024,49498,Pharmacare,156138,Sambucol,1530699,PCM-Sambucol-2024-25 Display-Aug - B Creatives,Display,£25.32,"6,561",11
16/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.68,"25,827",52
17/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.69,"25,959",59
18/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.67,"26,170",82
19/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.67,"27,025",95
20/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.67,"26,786",90
21/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.68,"25,844",70
22/09/2024,49498,Pharmacare,203509,BIOGLAN,1548347,Bioglan Smart Kids-VitaGummies Display 2024/25,Display,£100.25,"25,957",55
16/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.49,"8,920",25
17/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.46,"8,869",22
18/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.50,"9,035",29
19/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.53,"9,032",32
20/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.48,"8,887",9
21/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.49,"8,847",22
22/09/2024,49498,Pharmacare,121502,Superfoods,1569483,PCM-2024-25 Superfoods-Display-Sep,Display,£34.43,"8,856",26
16/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.27,"22,345",34
17/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.18,"22,229",42
18/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.18,"22,055",60
19/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.25,"22,243",32
20/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.19,"22,242",31
21/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.26,"22,124",46
22/09/2024,49498,Pharmacare,118852,Haliborange,1569604,PCM 2024-25 One for Me: Haliborange,Display,£86.13,"22,273",100
,,,,,,,Total,"£3,067.32","793,429","1,754"
