Campaign,Campaign type,Day,Currency code,Budget,Account name,Customer ID,Cost,Impr.,Clicks
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,09/09/2024,GBP,34,Haliborange - PCM,910-547-9147,35.07,"4,489",99
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,09/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,52.4,820,64
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,09/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.28,"33,041",82
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,10/09/2024,GBP,34,Haliborange - PCM,910-547-9147,31.93,"2,011",71
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,10/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,44.81,811,56
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,10/09/2024,GBP,86,Haliborange - PCM,910-547-9147,89.41,"34,446",81
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,11/09/2024,GBP,34,Haliborange - PCM,910-547-9147,34.24,"3,029",68
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,11/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,49.12,882,64
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,11/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.07,"33,881",88
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,12/09/2024,GBP,34,Haliborange - PCM,910-547-9147,45.56,"3,589",106
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,12/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,42.75,781,55
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,12/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.8,"29,199",82
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,13/09/2024,GBP,34,Haliborange - PCM,910-547-9147,37.16,"2,816",92
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,13/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,36.86,568,56
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,13/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.38,"29,490",98
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,14/09/2024,GBP,34,Haliborange - PCM,910-547-9147,33.15,"2,286",100
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,14/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,36.02,610,52
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,14/09/2024,GBP,86,Haliborange - PCM,910-547-9147,88.02,"30,302",105
_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,15/09/2024,GBP,34,Haliborange - PCM,910-547-9147,34.43,"2,064",94
_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,15/09/2024,GBP,44.8,Haliborange - PCM,910-547-9147,28.39,735,41
_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,15/09/2024,GBP,86,Haliborange - PCM,910-547-9147,87.39,"31,169",89
Demand Gen - 2024-09-05,Demand Gen,09/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,48.03,"20,751",196
PCM - Search - General Brand,Search,09/09/2024,GBP,36,BSSAA Limited,265-723-1290,17.64,269,35
PCM - Search - General Product,Search,09/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,2.74,44,5
PCM - Search - Oral Solutions,Search,09/09/2024,GBP,21,BSSAA Limited,265-723-1290,19.79,130,15
PCM_BSSAA_Display_Consideration,Display,09/09/2024,GBP,10,BSSAA Limited,265-723-1290,16.13,"17,333",38
Demand Gen - 2024-09-05,Demand Gen,10/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,47.74,"29,942",322
PCM - Search - General Brand,Search,10/09/2024,GBP,36,BSSAA Limited,265-723-1290,20.45,289,30
PCM - Search - General Product,Search,10/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,9.82,58,6
PCM - Search - Oral Solutions,Search,10/09/2024,GBP,21,BSSAA Limited,265-723-1290,11.08,124,13
PCM_BSSAA_Display_Consideration,Display,10/09/2024,GBP,10,BSSAA Limited,265-723-1290,10.37,"4,737",24
Demand Gen - 2024-09-05,Demand Gen,11/09/2024,GBP,38.08,BSSAA Limited,265-723-1290,39.22,"17,308",189
PCM - Search - General Brand,Search,11/09/2024,GBP,36,BSSAA Limited,265-723-1290,27.3,429,47
PCM - Search - General Product,Search,11/09/2024,GBP,15.3,BSSAA Limited,265-723-1290,1.06,40,3
PCM - Search - Oral Solutions,Search,11/09/2024,GBP,21,BSSAA Limited,265-723-1290,12.9,112,13
PCM_BSSAA_Display_Consideration,Display,11/09/2024,GBP,10,BSSAA Limited,265-723-1290,9.47,"6,649",15
