Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,88,88.62,380,47
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,88,88.44,"13,692",36
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,88,93.28,816,62
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,88,88.08,"23,448",40
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,17/08/2024,GBP,88,91.08,922,66
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,17/08/2024,GBP,88,93.43,"29,245",60
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,18/08/2024,GBP,88,88.98,"1,117",71
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,18/08/2024,GBP,88,90.76,"29,916",63
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,19/08/2024,GBP,88,93.02,"1,231",95
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,19/08/2024,GBP,88,91.96,"29,940",68
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,20/08/2024,GBP,88,91.65,"1,380",86
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,20/08/2024,GBP,88,91.43,"29,767",56
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,21/08/2024,GBP,88,75.42,"1,345",79
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,21/08/2024,GBP,88,90.18,"30,351",68
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,22/08/2024,GBP,88,102.52,"1,122",103
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,22/08/2024,GBP,88,90.36,"31,576",58
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,23/08/2024,GBP,88,81.9,"1,110",90
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,23/08/2024,GBP,88,89.69,"29,689",52
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,24/08/2024,GBP,88,94.25,"1,169",97
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,24/08/2024,GBP,88,89.2,"29,626",47
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,25/08/2024,GBP,88,82.15,"1,077",85
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,25/08/2024,GBP,88,87.99,"28,812",43
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,26/08/2024,GBP,88,96.93,987,103
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,26/08/2024,GBP,88,87.44,"30,651",54
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,27/08/2024,GBP,88,87.93,"1,168",101
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,27/08/2024,GBP,88,86.32,"29,849",74
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,28/08/2024,GBP,88,96.81,"1,208",122
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,28/08/2024,GBP,88,85.69,"28,566",44
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,29/08/2024,GBP,88,75.8,"1,282",106
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,29/08/2024,GBP,88,84.54,"28,041",47
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,30/08/2024,GBP,88,82.54,"1,097",120
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,30/08/2024,GBP,88,82.34,"26,143",50
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,31/08/2024,GBP,88,72.76,"1,073",106
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,31/08/2024,GBP,88,78.3,"25,871",47
