Account name,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BSSAA Limited,PCM - Search - General Brand,Search,01/08/2024,GBP,36,18.71,235,32
BSSAA Limited,PCM - Search - General Product,Search,01/08/2024,GBP,10,0,16,0
BSSAA Limited,PCM - Search - Oral Solutions,Search,01/08/2024,GBP,14,6.1,56,7
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,01/08/2024,GBP,15.3,16.42,"11,839",51
BSSAA Limited,PCM - Search - General Brand,Search,02/08/2024,GBP,36,22.24,96,25
BSSAA Limited,PCM - Search - General Product,Search,02/08/2024,GBP,10,2.43,17,4
BSSAA Limited,PCM - Search - Oral Solutions,Search,02/08/2024,GBP,14,10.08,42,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,02/08/2024,GBP,15.3,18.63,"14,357",60
BSSAA Limited,PCM - Search - General Brand,Search,03/08/2024,GBP,36,16.12,142,26
BSSAA Limited,PCM - Search - General Product,Search,03/08/2024,GBP,10,1.58,17,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,03/08/2024,GBP,14,2.56,39,3
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,03/08/2024,GBP,15.3,15.72,"19,997",85
BSSAA Limited,PCM - Search - General Brand,Search,04/08/2024,GBP,36,12.85,189,17
BSSAA Limited,PCM - Search - General Product,Search,04/08/2024,GBP,10,1.17,21,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,04/08/2024,GBP,14,5.91,49,9
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,04/08/2024,GBP,15.3,15.05,"9,688",46
BSSAA Limited,PCM - Search - General Brand,Search,05/08/2024,GBP,36,20.15,276,35
BSSAA Limited,PCM - Search - General Product,Search,05/08/2024,GBP,10,1.78,29,4
BSSAA Limited,PCM - Search - Oral Solutions,Search,05/08/2024,GBP,14,9.29,49,8
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,05/08/2024,GBP,15.3,14.79,"12,757",30
BSSAA Limited,PCM - Search - General Brand,Search,06/08/2024,GBP,36,18.42,214,26
BSSAA Limited,PCM - Search - General Product,Search,06/08/2024,GBP,10,0.51,19,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,06/08/2024,GBP,14,8.89,67,11
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,06/08/2024,GBP,15.3,15.39,"20,159",48
BSSAA Limited,PCM - Search - General Brand,Search,07/08/2024,GBP,36,22.87,181,26
BSSAA Limited,PCM - Search - General Product,Search,07/08/2024,GBP,10,3.08,29,4
BSSAA Limited,PCM - Search - Oral Solutions,Search,07/08/2024,GBP,14,8.46,67,13
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,07/08/2024,GBP,15.3,15.55,"28,974",73
BSSAA Limited,PCM - Search - General Brand,Search,08/08/2024,GBP,36,21.59,201,31
BSSAA Limited,PCM - Search - General Product,Search,08/08/2024,GBP,10,1.7,25,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,08/08/2024,GBP,14,10.87,68,18
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,08/08/2024,GBP,15.3,10.31,"14,931",65
BSSAA Limited,PCM - Search - General Brand,Search,09/08/2024,GBP,36,16.16,163,29
BSSAA Limited,PCM - Search - General Product,Search,09/08/2024,GBP,10,1.33,19,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,09/08/2024,GBP,14,15.09,75,15
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,09/08/2024,GBP,15.3,6.29,"3,822",31
BSSAA Limited,PCM - Search - General Brand,Search,10/08/2024,GBP,36,11.62,136,29
BSSAA Limited,PCM - Search - General Product,Search,10/08/2024,GBP,10,0.85,29,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,10/08/2024,GBP,14,9.21,59,9
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,10/08/2024,GBP,15.3,11.91,"6,466",46
BSSAA Limited,PCM - Search - General Brand,Search,11/08/2024,GBP,36,17.35,150,26
BSSAA Limited,PCM - Search - General Product,Search,11/08/2024,GBP,10,0.59,21,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,11/08/2024,GBP,14,4.61,48,4
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,11/08/2024,GBP,15.3,31.35,"16,863",73
BSSAA Limited,PCM - Search - General Brand,Search,12/08/2024,GBP,36,19.62,237,29
BSSAA Limited,PCM - Search - General Product,Search,12/08/2024,GBP,10,0.76,13,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,12/08/2024,GBP,14,6.77,56,9
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,12/08/2024,GBP,15.3,18.33,"27,088",87
BSSAA Limited,PCM - Search - General Brand,Search,13/08/2024,GBP,36,10.72,236,20
BSSAA Limited,PCM - Search - General Product,Search,13/08/2024,GBP,10,0.36,32,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,13/08/2024,GBP,14,2.53,50,2
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,13/08/2024,GBP,15.3,17.15,"18,903",82
BSSAA Limited,PCM - Search - General Brand,Search,14/08/2024,GBP,36,21.97,233,35
BSSAA Limited,PCM - Search - General Product,Search,14/08/2024,GBP,10,2.35,19,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,14/08/2024,GBP,14,5.28,83,8
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,14/08/2024,GBP,15.3,17.15,"21,713",101
BSSAA Limited,PCM - Search - General Brand,Search,15/08/2024,GBP,36,21.59,265,36
BSSAA Limited,PCM - Search - General Product,Search,15/08/2024,GBP,10,0.7,27,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,15/08/2024,GBP,14,5.35,79,7
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,15/08/2024,GBP,15.3,16.78,"11,622",58
BSSAA Limited,PCM - Search - General Brand,Search,16/08/2024,GBP,36,20.75,208,26
BSSAA Limited,PCM - Search - General Product,Search,16/08/2024,GBP,10,1.84,26,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,16/08/2024,GBP,14,11.84,59,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,16/08/2024,GBP,15.3,14.24,"14,046",86
BSSAA Limited,PCM - Search - General Brand,Search,17/08/2024,GBP,36,20.6,153,28
BSSAA Limited,PCM - Search - General Product,Search,17/08/2024,GBP,10,3.48,34,6
BSSAA Limited,PCM - Search - Oral Solutions,Search,17/08/2024,GBP,14,8.43,63,11
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,17/08/2024,GBP,15.3,15.26,"19,625",77
