Campaign,Campaign type,Day,Currency code,Budget,Account name,Customer ID,Cost,Impr.,Clicks
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,01/09/2024,GBP,20,Bioglan,784-415-3148,12.4,"59,127",420
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,GBP,40,Bioglan,784-415-3148,34.71,970,93
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,GBP,26.66,Bioglan,784-415-3148,26.13,"9,427",20
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,01/09/2024,GBP,43.33,Bioglan,784-415-3148,52.2,"220,856","1,576"
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,GBP,50,Bioglan,784-415-3148,49.15,"1,131",142
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,GBP,40,Bioglan,784-415-3148,39.05,"7,183",12
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,01/09/2024,GBP,26,Sambucol,521-119-4345,92.33,"1,055",126
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,01/09/2024,GBP,26,Sambucol,521-119-4345,89.25,"31,587",52
NEW: PCM- VA+CC - 2024-25,Display,01/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,26.49,"5,053",588
PCM_Depilatories_24-25,Display,01/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,36.88,"16,967","1,036"
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,02/09/2024,GBP,20,Bioglan,784-415-3148,23.75,"52,206",775
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,GBP,40,Bioglan,784-415-3148,46.5,"1,078",118
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,GBP,26.66,Bioglan,784-415-3148,27.35,"9,801",32
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,02/09/2024,GBP,43.33,Bioglan,784-415-3148,52.18,"183,021","1,629"
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,GBP,50,Bioglan,784-415-3148,52.75,"1,346",156
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,GBP,40,Bioglan,784-415-3148,41.14,"7,141",12
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,02/09/2024,GBP,27.58,Bioglan,784-415-3148,26.93,"8,293",285
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,GBP,34.48,Bioglan,784-415-3148,3.04,139,10
_pcm_superfoods_category_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,GBP,32.75,Superfoods,404-321-8286,0.68,52,3
_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,02/09/2024,GBP,34,Superfoods,404-321-8286,33.95,"10,953",14
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,02/09/2024,GBP,26,Sambucol,521-119-4345,83.19,"1,038",122
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,02/09/2024,GBP,26,Sambucol,521-119-4345,92.89,"33,219",64
NEW: PCM- VA+CC - 2024-25,Display,02/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,0.21,334,9
PCM_Depilatories_24-25,Display,02/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,36.66,"17,937","1,092"
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,03/09/2024,GBP,20,Bioglan,784-415-3148,25.31,"97,089",588
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,GBP,40,Bioglan,784-415-3148,39.51,956,102
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,GBP,26.66,Bioglan,784-415-3148,27.36,"10,050",16
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,03/09/2024,GBP,43.33,Bioglan,784-415-3148,3.9,"16,807",121
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,GBP,50,Bioglan,784-415-3148,47.05,"1,317",136
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,GBP,40,Bioglan,784-415-3148,41.08,"7,198",13
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,03/09/2024,GBP,27.58,Bioglan,784-415-3148,28.35,"20,692",337
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,03/09/2024,GBP,34.48,Bioglan,784-415-3148,1.11,66,8
_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,03/09/2024,GBP,34,Superfoods,404-321-8286,35.19,"10,867",12
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,03/09/2024,GBP,26,Sambucol,521-119-4345,2.64,158,13
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,03/09/2024,GBP,26,Sambucol,521-119-4345,93.24,"32,512",68
NEW: PCM- VA+CC - 2024-25,Display,03/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,0.05,81,2
PCM_Depilatories_24-25,Display,03/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,1.33,"1,596",42
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,04/09/2024,GBP,20,Bioglan,784-415-3148,4.82,"28,336",130
_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,GBP,40,Bioglan,784-415-3148,42.07,910,108
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,GBP,26.66,Bioglan,784-415-3148,27.29,"7,262",11
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,04/09/2024,GBP,43.33,Bioglan,784-415-3148,0.83,"2,208",28
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,GBP,50,Bioglan,784-415-3148,57.2,"1,420",151
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,GBP,40,Bioglan,784-415-3148,40.89,"6,947",12
_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,04/09/2024,GBP,27.58,Bioglan,784-415-3148,2.6,910,55
_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,04/09/2024,GBP,34.48,Bioglan,784-415-3148,68.95,"1,323",210
_pcm_superfoods_category_uk_video_cpm_traffic_sep_2024_,Video,04/09/2024,GBP,34,Superfoods,404-321-8286,7.09,"2,284",2
_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,04/09/2024,GBP,26,Sambucol,521-119-4345,3.84,179,18
_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,04/09/2024,GBP,26,Sambucol,521-119-4345,92.96,"30,536",50
NEW: PCM- VA+CC - 2024-25,Display,04/09/2024,GBP,22,Skin Doctors - PCM,393-022-8800,0.07,284,2
PCM_Depilatories_24-25,Display,04/09/2024,GBP,30,Skin Doctors - PCM,393-022-8800,0.07,181,2
_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,05/09/2024,GBP,20,Bioglan,784-415-3148,0,68,0
