Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,16/09/2024,GBP,10.9,20.09,91,8
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,16/09/2024,GBP,7.27,14.45,49,5
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,16/09/2024,GBP,10.9,14.31,60,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,16/09/2024,GBP,7.27,19.33,37,4
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,16/09/2024,GBP,8.21,13.07,157,7
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,16/09/2024,GBP,12.32,23.84,106,8
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,16/09/2024,USD,322.58,13.39,26,14
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,16/09/2024,USD,300,1.91,4,1
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,17/09/2024,GBP,10.9,13.51,146,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,17/09/2024,GBP,7.27,10.64,95,4
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,17/09/2024,GBP,10.9,14.27,97,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,17/09/2024,GBP,7.27,5.86,43,2
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Brand,Search,17/09/2024,GBP,8.21,16.01,249,11
BEN Care PCM,999-236-7205,PCM - Search - Town Thorns Care Home - Category,Search,17/09/2024,GBP,12.32,14.17,101,8
New Theatre Royal (Trustees) Portsmouth,822-049-1529,Brand Search,Search,17/09/2024,USD,322.58,18.85,39,29
New Theatre Royal (Trustees) Portsmouth,822-049-1529,The Very Hungry Caterpillar 2024,Search,17/09/2024,USD,300,0,2,0
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand - 35-54,Search,18/09/2024,GBP,10.9,14.57,150,6
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Brand 55+,Search,18/09/2024,GBP,7.27,9.43,76,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category - 35-54,Search,18/09/2024,GBP,10.9,14.59,39,3
BEN Care PCM,999-236-7205,PCM - Search - Lynwood Care Home - Category 55+,Search,18/09/2024,GBP,7.27,6.02,60,2
